Building,Room,Day,Start Time,End Time,Course,Instructor,Status
BNSN,W112,T,02:00 PM,03:15 PM,329 Sec 1,Jensen,OCCUPIED
BNSN,W112,Th,02:00 PM,03:15 PM,329 Sec 1,Jensen,OCCUPIED
CB,377,M,09:30 AM,10:45 AM,111 Sec 2,Stephens,OCCUPIED
CB,377,M,11:00 AM,12:15 PM,235 Sec 2,MJ,OCCUPIED
CB,377,M,12:30 PM,01:45 PM,240 Sec 1,Rodham,OCCUPIED
CB,377,M,02:00 PM,03:15 PM,235 Sec 3,MJ,OCCUPIED
CB,377,T,09:30 AM,10:45 AM,235 Sec 4,Stephens,OCCUPIED
CB,377,T,12:30 PM,01:45 PM,240 Sec 3,Wilkerson,OCCUPIED
CB,377,T,02:00 PM,03:15 PM,224B Sec 2,Archibald,OCCUPIED
CB,377,T,03:30 PM,04:45 PM,224B Sec 1,Archibald,OCCUPIED
CB,377,W,09:30 AM,10:45 AM,111 Sec 2,Stephens,OCCUPIED
CB,377,W,11:00 AM,12:15 PM,235 Sec 2,MJ,OCCUPIED
CB,377,W,12:30 PM,01:45 PM,240 Sec 1,Rodham,OCCUPIED
CB,377,W,02:00 PM,03:15 PM,235 Sec 3,MJ,OCCUPIED
CB,377,Th,09:30 AM,10:45 AM,235 Sec 4,Stephens,OCCUPIED
CB,377,Th,12:30 PM,01:45 PM,240 Sec 3,Wilkerson,OCCUPIED
CB,377,Th,02:00 PM,03:15 PM,224B Sec 2,Archibald,OCCUPIED
CB,377,Th,03:30 PM,04:45 PM,224B Sec 1,Archibald,OCCUPIED
CB,381,M,10:00 AM,10:50 AM,236 Sec 1,Barker,OCCUPIED
CB,381,T,09:30 AM,10:45 AM,180 Sec 1,Ringger,OCCUPIED
CB,381,W,10:00 AM,10:50 AM,236 Sec 1,Barker,OCCUPIED
CB,381,Th,09:30 AM,10:45 AM,180 Sec 1,Ringger,OCCUPIED
CB,381,F,10:00 AM,10:50 AM,236 Sec 1,Barker,OCCUPIED
HBLL,3718,M,08:00 AM,09:15 AM,111 Sec 4,"Giles, Steven",OCCUPIED
HBLL,3718,M,09:30 AM,10:45 AM,556 Sec 1,Hughes,OCCUPIED
HBLL,3718,M,11:00 AM,12:15 PM,301R Sec 3,Stephens,OCCUPIED
HBLL,3718,M,12:30 PM,01:45 PM,393 Sec 1,Reynolds,OCCUPIED
HBLL,3718,M,02:00 PM,03:15 PM,393 Sec 2,Reynolds,OCCUPIED
HBLL,3718,M,05:30 PM,06:45 PM,111E Sec 1,"Cluff, Andrew",OCCUPIED
HBLL,3718,T,09:30 AM,10:45 AM,240 Sec 3,Wilkerson,OCCUPIED
HBLL,3718,T,02:00 PM,03:15 PM,630 Sec 1,Germane,OCCUPIED
HBLL,3718,T,03:30 PM,04:45 PM,312 Sec 1,Bean,OCCUPIED
HBLL,3718,W,08:00 AM,09:15 AM,111 Sec 4,"Giles, Steven",OCCUPIED
HBLL,3718,W,09:30 AM,10:45 AM,556 Sec 1,Hughes,OCCUPIED
HBLL,3718,W,11:00 AM,12:15 PM,301R Sec 3,Stephens,OCCUPIED
HBLL,3718,W,12:30 PM,01:45 PM,393 Sec 1,Reynolds,OCCUPIED
HBLL,3718,W,02:00 PM,03:15 PM,393 Sec 2,Reynolds,OCCUPIED
HBLL,3718,W,05:30 PM,06:45 PM,111E Sec 1,"Cluff, Andrew",OCCUPIED
HBLL,3718,Th,09:30 AM,10:45 AM,240 Sec 3,Wilkerson,OCCUPIED
HBLL,3718,Th,02:00 PM,03:15 PM,630 Sec 1,Germane,OCCUPIED
HBLL,3718,Th,03:30 PM,04:45 PM,312 Sec 1,Bean,OCCUPIED
JFSB,B092,M,09:30 AM,10:45 AM,474 Sec 2,Killian,OCCUPIED
JFSB,B092,M,11:00 AM,11:50 AM,236 Sec 3,Barker,OCCUPIED
JFSB,B092,M,11:00 AM,12:15 PM,474 Sec 1,Jenkins,OCCUPIED
JFSB,B092,M,12:30 PM,01:45 PM,270 Sec 2,Snell,OCCUPIED
JFSB,B092,M,02:00 PM,02:50 PM,236 Sec 2,Barker,OCCUPIED
JFSB,B092,M,02:00 PM,03:15 PM,270 Sec 1,Snell,OCCUPIED
JFSB,B092,T,08:00 AM,09:15 AM,260 Sec 1,Jensen,OCCUPIED
JFSB,B092,T,09:00 AM,10:50 AM,340 Sec 2,Wilkerson,OCCUPIED
JFSB,B092,T,12:00 PM,01:50 PM,340 Sec 3,Wilkerson,OCCUPIED
JFSB,B092,T,02:00 PM,03:50 PM,340 Sec 1,Rodham,OCCUPIED
JFSB,B092,W,09:30 AM,10:45 AM,474 Sec 2,Killian,OCCUPIED
JFSB,B092,W,11:00 AM,11:50 AM,236 Sec 3,Barker,OCCUPIED
JFSB,B092,W,11:00 AM,12:15 PM,474 Sec 1,Jenkins,OCCUPIED
JFSB,B092,W,12:30 PM,01:45 PM,270 Sec 2,Snell,OCCUPIED
JFSB,B092,W,02:00 PM,02:50 PM,236 Sec 2,Barker,OCCUPIED
JFSB,B092,W,02:00 PM,03:15 PM,270 Sec 1,Snell,OCCUPIED
JFSB,B092,Th,08:00 AM,09:15 AM,260 Sec 1,Jensen,OCCUPIED
JFSB,B092,Th,09:00 AM,10:50 AM,340 Sec 2,Wilkerson,OCCUPIED
JFSB,B092,Th,12:00 PM,01:50 PM,340 Sec 3,Wilkerson,OCCUPIED
JFSB,B092,Th,02:00 PM,03:50 PM,340 Sec 1,Rodham,OCCUPIED
JFSB,B092,F,11:00 AM,11:50 AM,236 Sec 3,Barker,OCCUPIED
JFSB,B092,F,02:00 PM,02:50 PM,236 Sec 2,Barker,OCCUPIED
JKB,1102,M,09:30 AM,10:45 AM,240 Sec 3,Wilkerson,OCCUPIED
JKB,1102,M,11:00 AM,11:50 AM,324 Sec 3,"Dougal, Duane",OCCUPIED
JKB,1102,M,12:30 PM,01:45 PM,111 Sec 1,Richardson,OCCUPIED
JKB,1102,M,02:00 PM,03:15 PM,235 Sec 5,"Dougal, Duane",OCCUPIED
JKB,1102,T,09:30 AM,10:45 AM,110 Sec 4,"Jones, Angela",OCCUPIED
JKB,1102,T,12:30 PM,01:45 PM,180 Sec 2,Ringger,OCCUPIED
JKB,1102,T,02:00 PM,03:15 PM,110 Sec 2,"Dougal, Duane",OCCUPIED
JKB,1102,T,03:30 PM,04:45 PM,465 Sec 1,"Clift, Fred",OCCUPIED
JKB,1102,W,09:30 AM,10:45 AM,240 Sec 3,Wilkerson,OCCUPIED
JKB,1102,W,11:00 AM,11:50 AM,324 Sec 3,"Dougal, Duane",OCCUPIED
JKB,1102,W,12:30 PM,01:45 PM,111 Sec 1,Richardson,OCCUPIED
JKB,1102,W,02:00 PM,03:15 PM,235 Sec 5,"Dougal, Duane",OCCUPIED
JKB,1102,Th,09:30 AM,10:45 AM,110 Sec 4,"Jones, Angela",OCCUPIED
JKB,1102,Th,12:30 PM,01:45 PM,180 Sec 2,Ringger,OCCUPIED
JKB,1102,Th,02:00 PM,03:15 PM,110 Sec 2,"Dougal, Duane",OCCUPIED
JKB,1102,Th,03:30 PM,04:45 PM,465 Sec 1,"Clift, Fred",OCCUPIED
JKB,1102,F,11:00 AM,11:50 AM,324 Sec 3,"Dougal, Duane",OCCUPIED
JKB,1120,T,03:30 PM,04:45 PM,677 Sec 1,Jenkins,OCCUPIED
JKB,1120,Th,03:30 PM,04:45 PM,677 Sec 1,Jenkins,OCCUPIED
JKB,2113,M,10:00 AM,10:50 AM,480T Sec 1,"Team:Rodham/Sillito/Baird, Brad",OCCUPIED
JKB,2113,M,11:00 AM,11:50 AM,481T Sec 1,"Team:Rodham/Sillito/Baird, Brad",OCCUPIED
JKB,2113,W,10:00 AM,10:50 AM,480T Sec 1,"Team:Rodham/Sillito/Baird, Brad",OCCUPIED
JKB,2113,W,11:00 AM,11:50 AM,481T Sec 1,"Team:Rodham/Sillito/Baird, Brad",OCCUPIED
JKB,2113,F,10:00 AM,10:50 AM,480T Sec 1,"Team:Rodham/Sillito/Baird, Brad",OCCUPIED
JKB,2113,F,11:00 AM,11:50 AM,481T Sec 1,"Team:Rodham/Sillito/Baird, Brad",OCCUPIED
JKB,3106,T,12:30 PM,01:45 PM,404 Sec 2,"Gates, Darin",OCCUPIED
JKB,3106,Th,12:30 PM,01:45 PM,404 Sec 2,"Gates, Darin",OCCUPIED
JKB,3108,M,09:00 AM,09:50 AM,324 Sec 2,Deccio,OCCUPIED
JKB,3108,M,10:00 AM,10:50 AM,324 Sec 1,Deccio,OCCUPIED
JKB,3108,M,11:00 AM,12:15 PM,110 Sec 1,Bean,OCCUPIED
JKB,3108,M,12:30 PM,01:45 PM,235 Sec 3,MJ,OCCUPIED
JKB,3108,M,02:00 PM,03:15 PM,111 Sec 2,Stephens,OCCUPIED
JKB,3108,T,09:30 AM,10:45 AM,240 Sec 1,Rodham,OCCUPIED
JKB,3108,T,12:30 PM,01:45 PM,235 Sec 4,Stephens,OCCUPIED
JKB,3108,T,02:00 PM,03:15 PM,235 Sec 2,MJ,OCCUPIED
JKB,3108,W,09:00 AM,09:50 AM,324 Sec 2,Deccio,OCCUPIED
JKB,3108,W,10:00 AM,10:50 AM,324 Sec 1,Deccio,OCCUPIED
JKB,3108,W,11:00 AM,12:15 PM,110 Sec 1,Bean,OCCUPIED
JKB,3108,W,12:30 PM,01:45 PM,235 Sec 3,MJ,OCCUPIED
JKB,3108,W,02:00 PM,03:15 PM,111 Sec 2,Stephens,OCCUPIED
JKB,3108,Th,09:30 AM,10:45 AM,240 Sec 1,Rodham,OCCUPIED
JKB,3108,Th,12:30 PM,01:45 PM,235 Sec 4,Stephens,OCCUPIED
JKB,3108,Th,02:00 PM,03:15 PM,235 Sec 2,MJ,OCCUPIED
JKB,3108,F,09:00 AM,09:50 AM,324 Sec 2,Deccio,OCCUPIED
JKB,3108,F,10:00 AM,10:50 AM,324 Sec 1,Deccio,OCCUPIED
JSB,114,M,10:00 AM,11:15 AM,110 Sec 2,"Dougal, Duane",OCCUPIED
JSB,114,W,10:00 AM,11:15 AM,110 Sec 2,"Dougal, Duane",OCCUPIED
KMBL,270,M,09:00 AM,09:50 AM,256 Sec 1,Hughes,OCCUPIED
KMBL,270,W,09:00 AM,09:50 AM,256 Sec 1,Hughes,OCCUPIED
MARB,130,M,08:00 AM,09:15 AM,452 Sec 1,Jenkins,OCCUPIED
MARB,130,M,09:30 AM,10:45 AM,452 Sec 2,Reynolds,OCCUPIED
MARB,130,M,11:00 AM,12:15 PM,473 Sec 1,Wingate,OCCUPIED
MARB,130,M,12:30 PM,01:45 PM,301R Sec 1,Bean,OCCUPIED
MARB,130,M,02:00 PM,03:15 PM,704R Sec 1,Morse,OCCUPIED
MARB,130,M,03:30 PM,04:45 PM,240 Sec 1,Rodham,OCCUPIED
MARB,130,T,09:30 AM,10:45 AM,493 Sec 1,Farrell,OCCUPIED
MARB,130,T,12:30 PM,01:45 PM,301R Sec 2,MJ,OCCUPIED
MARB,130,T,02:00 PM,03:15 PM,712 Sec 1,Warnick,OCCUPIED
MARB,130,W,08:00 AM,09:15 AM,452 Sec 1,Jenkins,OCCUPIED
MARB,130,W,09:30 AM,10:45 AM,452 Sec 2,Reynolds,OCCUPIED
MARB,130,W,11:00 AM,12:15 PM,473 Sec 1,Wingate,OCCUPIED
MARB,130,W,12:30 PM,01:45 PM,301R Sec 1,Bean,OCCUPIED
MARB,130,W,02:00 PM,03:15 PM,704R Sec 1,Morse,OCCUPIED
MARB,130,W,03:30 PM,04:45 PM,240 Sec 1,Rodham,OCCUPIED
MARB,130,Th,09:30 AM,10:45 AM,493 Sec 1,Farrell,OCCUPIED
MARB,130,Th,12:30 PM,01:45 PM,301R Sec 2,MJ,OCCUPIED
MARB,130,Th,02:00 PM,03:15 PM,712 Sec 1,Warnick,OCCUPIED
MARB,222,M,09:30 AM,10:45 AM,111 Sec 1,Richardson,OCCUPIED
MARB,222,M,11:00 AM,12:15 PM,110 Sec 2,"Dougal, Duane",OCCUPIED
MARB,222,M,12:30 PM,01:45 PM,235 Sec 5,"Dougal, Duane",OCCUPIED
MARB,222,M,02:00 PM,03:15 PM,111 Sec 4,"Giles, Steven",OCCUPIED
MARB,222,T,12:30 PM,01:45 PM,111 Sec 1,Richardson,OCCUPIED
MARB,222,T,02:00 PM,03:15 PM,110 Sec 1,Bean,OCCUPIED
MARB,222,W,09:30 AM,10:45 AM,111 Sec 1,Richardson,OCCUPIED
MARB,222,W,11:00 AM,12:15 PM,110 Sec 2,"Dougal, Duane",OCCUPIED
MARB,222,W,12:30 PM,01:45 PM,235 Sec 5,"Dougal, Duane",OCCUPIED
MARB,222,W,02:00 PM,03:15 PM,111 Sec 4,"Giles, Steven",OCCUPIED
MARB,222,Th,12:30 PM,01:45 PM,111 Sec 1,Richardson,OCCUPIED
MARB,222,Th,02:00 PM,03:15 PM,110 Sec 1,Bean,OCCUPIED
MARB,B106,T,02:00 PM,03:15 PM,401R Sec 2,Toborg,OCCUPIED
MARB,B106,Th,02:00 PM,03:15 PM,401R Sec 2,Toborg,OCCUPIED
MARB,B113,M,03:00 PM,05:50 PM,428 Sec 1,"Webster, Bruce",OCCUPIED
MCKB,230,T,02:00 PM,03:15 PM,575 Sec 1,Goodrich,OCCUPIED
MCKB,230,Th,02:00 PM,03:15 PM,575 Sec 1,Goodrich,OCCUPIED
TMCB,111,T,09:30 AM,10:45 AM,260 Sec 2,Jensen,OCCUPIED
TMCB,111,Th,09:30 AM,10:45 AM,260 Sec 2,Jensen,OCCUPIED
TMCB,1170,M,08:00 AM,09:15 AM,110 Sec 1,Bean,OCCUPIED
TMCB,1170,M,09:30 AM,10:45 AM,110 Sec 4,"Jones, Angela",OCCUPIED
TMCB,1170,M,12:30 PM,01:45 PM,111 Sec 2,Stephens,OCCUPIED
TMCB,1170,T,08:00 AM,09:15 AM,312 Sec 2,Grimsman,OCCUPIED
TMCB,1170,T,09:30 AM,10:45 AM,312 Sec 3,Grimsman,OCCUPIED
TMCB,1170,T,12:30 PM,01:45 PM,405 Sec 1,"Earnshaw, Craig",OCCUPIED
TMCB,1170,T,02:00 PM,03:15 PM,111 Sec 4,"Giles, Steven",OCCUPIED
TMCB,1170,W,08:00 AM,09:15 AM,110 Sec 1,Bean,OCCUPIED
TMCB,1170,W,09:30 AM,10:45 AM,110 Sec 4,"Jones, Angela",OCCUPIED
TMCB,1170,W,12:30 PM,01:45 PM,111 Sec 2,Stephens,OCCUPIED
TMCB,1170,Th,08:00 AM,09:15 AM,312 Sec 2,Grimsman,OCCUPIED
TMCB,1170,Th,09:30 AM,10:45 AM,312 Sec 3,Grimsman,OCCUPIED
TMCB,1170,Th,12:30 PM,01:45 PM,405 Sec 1,"Earnshaw, Craig",OCCUPIED
TMCB,1170,Th,02:00 PM,03:15 PM,111 Sec 4,"Giles, Steven",OCCUPIED
TMCB,120,M,01:00 PM,01:50 PM,224A Sec 1,Mercer,OCCUPIED
TMCB,120,M,02:00 PM,02:50 PM,486 Sec 1,Mercer,OCCUPIED
TMCB,120,T,09:30 AM,10:45 AM,483T Sec 1,Team:MJ/Snell,OCCUPIED
TMCB,120,T,02:00 PM,03:15 PM,466 Sec 1,Seamons,OCCUPIED
TMCB,120,T,03:30 PM,04:45 PM,330 Sec 1,Germane,OCCUPIED
TMCB,120,T,05:00 PM,06:15 PM,235E Sec 1,"Barton, Dylan",OCCUPIED
TMCB,120,T,06:30 PM,07:45 PM,345E Sec 1,"Judd, Glenn",OCCUPIED
TMCB,120,W,01:00 PM,01:50 PM,224A Sec 1,Mercer,OCCUPIED
TMCB,120,W,02:00 PM,02:50 PM,486 Sec 1,Mercer,OCCUPIED
TMCB,120,Th,09:30 AM,10:45 AM,483T Sec 1,Team:MJ/Snell,OCCUPIED
TMCB,120,Th,02:00 PM,03:15 PM,466 Sec 1,Seamons,OCCUPIED
TMCB,120,Th,03:30 PM,04:45 PM,330 Sec 1,Germane,OCCUPIED
TMCB,120,Th,05:00 PM,06:15 PM,235E Sec 1,"Barton, Dylan",OCCUPIED
TMCB,120,Th,06:30 PM,07:45 PM,345E Sec 1,"Judd, Glenn",OCCUPIED
TMCB,120,F,01:00 PM,01:50 PM,224A Sec 1,Mercer,OCCUPIED
TMCB,120,F,02:00 PM,02:50 PM,486 Sec 1,Mercer,OCCUPIED
TMCB,134,M,01:00 PM,02:15 PM,401R Sec 1,Bean,OCCUPIED
TMCB,134,T,08:00 AM,09:15 AM,655 Sec 1,Egbert,OCCUPIED
TMCB,134,T,09:30 AM,10:45 AM,455 Sec 1,Egbert,OCCUPIED
TMCB,134,T,02:00 PM,03:15 PM,252A Sec 1,Ng,OCCUPIED
TMCB,134,T,03:30 PM,04:45 PM,252A Sec 2,Ng,OCCUPIED
TMCB,134,T,06:30 PM,07:45 PM,110E Sec 1,"Hansen, Bruce",OCCUPIED
TMCB,134,W,01:00 PM,02:15 PM,401R Sec 1,Bean,OCCUPIED
TMCB,134,Th,08:00 AM,09:15 AM,655 Sec 1,Egbert,OCCUPIED
TMCB,134,Th,09:30 AM,10:45 AM,455 Sec 1,Egbert,OCCUPIED
TMCB,134,Th,02:00 PM,03:15 PM,252A Sec 1,Ng,OCCUPIED
TMCB,134,Th,03:30 PM,04:45 PM,252A Sec 2,Ng,OCCUPIED
TMCB,134,Th,06:30 PM,07:45 PM,110E Sec 1,"Hansen, Bruce",OCCUPIED
TMCB,136,T,03:30 PM,04:45 PM,665 Sec 1,Seamons,OCCUPIED
TMCB,136,Th,03:30 PM,04:45 PM,665 Sec 1,Seamons,OCCUPIED
TMCB,197,T,03:30 PM,04:45 PM,513 Sec 1,Warnick,OCCUPIED
TMCB,197,Th,03:30 PM,04:45 PM,513 Sec 1,Warnick,OCCUPIED
TMCB,299,M,02:00 PM,03:15 PM,601R Sec 1,Richardson,OCCUPIED
TMCB,299,W,02:00 PM,03:15 PM,601R Sec 1,Richardson,OCCUPIED
TNRB,220,T,03:30 PM,04:45 PM,404 Sec 1,"Gates, Darin",OCCUPIED
TNRB,220,Th,03:30 PM,04:45 PM,404 Sec 1,"Gates, Darin",OCCUPIED
